,STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
146,       4336;19510527;-999;-999;-999;    5;   2.2;   1;-999;   0;   7.7;  12.0;    -999;   11.5;   88.00;   16.4;    9.5;    9.0;eor
147,       4336;19510528;-999;-999;-999;    5;   0.5;   1;-999;   0;   5.3;  10.4;    -999;   12.1;   74.00;   16.2;    7.8;    7.3;eor
148,       4336;19510529;-999;-999;-999;    5;   0.8;   1;-999;   0;   5.0;  11.7;    -999;   13.0;   75.00;   17.0;    7.8;    5.5;eor
149,       4336;19510530;-999;-999;-999;    5;   0.0;   0;-999;   0;   4.7;  10.4;    -999;   12.6;   71.00;   16.1;    7.3;    6.5;eor
150,       4336;19510531;-999;-999;-999;    5;   1.7;   1;-999;   0;   3.7;  11.2;    -999;   15.7;   64.00;   19.8;    7.7;    7.1;eor
151,       4336;19510601;-999;-999;-999;    5;  13.2;   1;-999;   0;   8.0;  12.5;    -999;   12.9;   82.00;   19.7;    7.7;    9.9;eor
152,       4336;19510602;-999;-999;-999;    5;   0.4;   1;-999;   0;   5.7;  12.3;    -999;   11.4;   88.00;   16.1;    9.9;   10.0;eor
153,       4336;19510603;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.0;  13.3;    -999;   13.4;   87.00;   17.4;    6.9;    5.5;eor
154,       4336;19510604;-999;-999;-999;    5;   0.4;   1;-999;   0;   3.7;  13.5;    -999;   14.6;   80.00;   19.5;    7.0;    7.0;eor
155,       4336;19510605;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.0;  12.4;    -999;   16.3;   68.00;   21.7;    9.3;    9.0;eor
156,       4336;19510606;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.7;  13.7;    -999;   15.6;   78.00;   20.5;   10.8;    9.8;eor
